Food Name,Description,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Phosphorus (mg),Iron (mg),Copper (mg),Zinc (mg),Chloride (mg),Manganese (mg),Selenium (µg),Iodine (µg),Retinol (µg),Carotene (µg),Retinol Equivalent (µg),Vitamin D (µg),Vitamin E (mg),Vitamin K1 (µg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Tryptophan/60 (mg),Niacin equivalent (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folate (µg),Pantothenate (mg),Biotin (µg),Vitamin C (mg)
"Ortaniques, flesh only",Literature sources,86.00,0.16,1.00,0.20,11.70,49.00,205,0.00,,11.70,N,,N,N,0.0,0.0,,1.7,,,Tr,,,,,,,,0.10,,,,0.10,,,,,,,0.00,5.00,150.00,41.00,10.00,21.00,0.40,0.05,0.10,3.00,Tr,N,2.00,0.00,120.00,20.00,0.00,0.24,,0.10,0.04,0.40,0.10,0.50,0.10,0.00,31.00,0.37,1.00,50.00
"Ovaltine powder, made up with semi-skimmed milk",Recipe. Calculated from 25g powder to 200ml milk,79.70,0.61,3.90,1.70,13.40,81.00,343,3.90,,9.50,N,,N,N,N,N,0.0,0.3,0.5,,1.11,,,,,,,,N,,,,N,,,,,,N,N,51.00,156.00,196.00,51.00,N,1.57,N,1.50,91.00,N,N,N,105.00,N,N,0.60,1.36,,0.15,0.35,1.90,N,1.90,0.20,1.00,28.00,1.21,8.20,10.00
"Ovaltine powder, made up with skimmed milk",Recipe. Calculated from 25g powder to 200ml milk,80.90,0.62,3.90,0.40,13.50,70.00,298,3.90,,9.60,N,,N,N,N,N,0.0,0.3,0.5,,0.27,,,,,,,,N,,,,N,,,,,,N,N,53.00,161.00,200.00,52.00,N,1.58,N,1.50,91.00,N,N,N,90.00,N,N,0.60,1.33,,0.15,0.34,1.90,N,1.90,0.20,1.00,28.00,1.06,7.70,9.00
"Ovaltine powder, made up with whole milk",Recipe. Calculated from 25g powder to 200ml milk,78.10,0.60,3.80,3.40,13.30,96.00,405,3.90,,9.40,N,,N,N,N,N,0.0,0.3,0.5,,2.19,,,,,,,,N,,,,N,,,,,,N,N,51.00,157.00,196.00,51.00,N,1.57,N,1.60,93.00,N,N,N,121.00,N,N,0.60,1.12,,0.14,0.35,1.90,N,N,0.20,1.00,25.00,1.12,7.80,6.00
"Ovaltine, powder","6 samples, Manufacturer's data",2.00,1.14,7.30,1.90,83.10,358.00,1524,34.80,,48.30,N,0.0,N,N,N,N,0.0,2.5,4.3,,1.40,,,,,,,,N,,,,N,,,,,,N,N,120.00,156.00,800.00,375.00,N,14.00,N,10.00,125.00,N,N,N,800.00,N,800.00,5.00,12.00,,1.10,1.40,16.00,N,N,1.40,2.50,200.00,6.00,50.00,80.00
"Oxtail, meat only, stewed with added salt",12 sample,53.90,4.88,30.50,13.40,0.00,243.00,1014,0.00,,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,N,N,,,,,,,N,N,,,N,N,,,,,N,Tr,110.00,190.00,170.00,14.00,18.00,140.00,3.80,0.27,8.80,270.00,N,N,N,Tr,Tr,Tr,Tr,0.45,,0.02,0.28,3.30,6.50,9.80,0.14,2.00,9.00,0.90,2.00,0.00
"Oxtail, meat only, stewed, weighed with fat and bones",Calculated from oxtail stewed,20.50,1.85,11.60,5.10,0.00,92.00,386,0.00,,0.00,,,,,,,0.0,0.0,,,N,,,,,,,,N,,,,N,,,,,,,N,72.00,65.00,5.00,7.00,53.00,1.40,0.10,3.30,100.00,N,N,N,Tr,Tr,Tr,Tr,0.17,,0.01,0.11,1.30,2.50,3.80,0.05,1.00,3.00,0.30,1.00,0.00
"Oxtail, raw",12 samples,68.60,3.20,20.00,10.10,0.00,171.00,714,0.00,,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,55.40,4.20,,,,,,,63.40,4.80,,,5.30,0.40,,,,,Tr,Tr,75.00,110.00,270.00,9.00,20.00,160.00,2.70,0.20,5.60,110.00,N,N,N,Tr,Tr,Tr,Tr,0.29,,0.03,0.29,4.50,4.30,8.80,0.27,3.00,7.00,1.00,1.00,0.00
"Oysters, raw",Analytical and literature sources,85.70,1.72,10.80,1.30,2.70,65.00,275,Tr,,Tr,0.0,,0.0,0.0,0.0,0.0,,0.0,,22.00,0.20,5.30,0.05,40.20,0.37,15.40,0.14,22.00,0.20,45.50,0.41,44.00,0.40,28.30,0.26,0.00,0.00,0.00,0.00,57.00,510.00,260.00,140.00,42.00,210.00,5.70,7.50,59.20,820.00,0.33,23.00,60.00,75.00,Tr,75.00,1.00,0.85,,0.15,0.19,1.80,2.30,4.10,0.16,17.00,N,0.37,10.00,Tr
"Oysters, raw, weighed with shells",Calculated from raw 16-260,12.00,0.24,1.50,0.20,0.40,9.00,38,Tr,,Tr,0.0,,0.0,0.0,0.0,0.0,,0.0,,3.08,Tr,0.74,Tr,5.63,Tr,2.16,Tr,3.08,Tr,6.37,0.06,6.37,0.10,3.96,Tr,0.00,0.00,0.00,0.00,8.00,71.00,36.00,19.00,6.00,30.00,0.80,1.05,8.30,110.00,0.05,3.00,8.00,11.00,Tr,11.00,0.10,0.12,,0.02,0.03,0.30,0.30,0.60,0.02,2.00,N,0.05,1.00,Tr
"Pak choi, steamed","16 samples, autumn and winter, UK grown and imported",94.80,0.24,1.50,0.10,1.90,14.00,58,0.40,,1.50,0.8,Tr,0.6,0.1,0.0,0.0,0.0,N,2.0,,0.02,,,,,,,,0.01,,,,0.03,,,,,,0.00,0.00,39.00,287.00,73.00,16.00,47.00,0.96,0.06,0.40,129.00,0.27,Tr,1.00,0.00,328.00,55.00,0.00,0.40,,0.07,0.04,0.50,0.30,0.80,0.04,0.00,80.00,0.14,1.00,15.00
"Pakora, vegetable, takeaway and restaurant","11 samples, 3 from London, 3 from Birmingham, 2 from Leeds and 3 from Bradford, crispy vegetable fitters",43.20,1.34,8.40,22.00,16.50,293.00,1221,15.00,,1.50,0.2,0.0,0.6,0.7,0.0,0.0,0.0,4.7,3.3,,3.73,,,,,,,,5.45,,,,11.55,,,,,,Tr,,479.00,504.00,46.00,47.00,157.00,2.45,0.33,1.10,N,N,N,N,Tr,133.00,22.00,0.00,3.36,,0.11,0.20,0.60,N,N,N,0.00,34.00,0.54,2.00,1.00
"Pakora/bhajia, aubergine, fried in vegetable oil, homemade",Recipe. Aubergine fried in chick pea flour batter,45.40,1.25,7.90,22.50,17.20,294.00,1222,14.00,,2.10,0.8,,0.6,0.8,0.0,0.0,0.0,4.8,N,,1.63,,,,,,,,12.50,,,,7.07,,,,,,0.01,0.00,18.00,247.00,27.00,28.00,82.00,1.13,0.10,0.60,56.00,0.60,2.00,N,0.00,129.00,22.00,0.00,5.38,,0.12,0.06,0.70,1.00,1.70,0.16,0.00,36.00,0.35,N,2.00
"Pakora/bhajia, cauliflower, fried in vegetable oil, homemade",Recipe. Cauliflour fried in chick pea flour batter,42.10,1.46,9.20,23.90,18.20,320.00,1330,14.50,,2.80,0.8,,0.9,1.0,0.0,0.0,0.0,4.7,4.7,,1.71,,,,,,,,13.29,,,,7.48,,,,,,0.01,0.00,22.00,277.00,32.00,29.00,98.00,1.24,0.11,0.70,97.00,0.63,2.00,N,0.00,83.00,14.00,0.00,5.73,,0.14,0.11,1.00,1.50,2.50,0.19,0.00,48.00,1.02,N,27.00
"Pakora/bhajia, onion, fried in vegetable oil, homemade",Recipe. Onion fried in chick pea flour batter,40.50,1.78,11.20,14.70,24.60,270.00,1130,20.60,,3.40,0.8,,0.7,1.8,0.0,0.0,0.0,5.6,5.7,,1.09,,,,,,,,7.65,,,,4.90,,,,,,0.01,0.00,15.00,213.00,44.00,34.00,115.00,1.55,0.15,0.80,72.00,0.83,N,N,0.00,88.00,15.00,0.00,3.98,,0.19,0.08,1.00,1.30,2.30,0.25,0.00,48.00,0.59,N,2.00
"Pakora/bhajia, potato and cauliflower, fried in vegetable oil, homemade","Recipe, vegetables fried in chick pea flour batter",42.60,1.39,8.60,22.30,23.90,325.00,1354,17.30,,2.00,0.5,,0.4,1.0,0.0,0.0,,4.0,4.0,,1.77,,,,,,,,11.97,,,,7.17,,,,,,0.01,0.00,6.00,275.00,34.00,41.00,102.00,1.46,0.18,0.70,58.00,0.66,1.00,N,0.00,14.00,2.00,0.00,5.10,,0.16,0.07,0.80,1.30,2.10,0.25,0.00,36.00,0.50,N,8.00
"Pakora/bhajia, potato, carrot and pea, fried in vegetable oil, homemade","Recipe, vegetables fried in chick pea flour batter",28.00,1.99,12.50,22.70,28.90,355.00,1483,25.10,,1.90,0.1,,0.1,1.6,0.0,0.0,0.0,6.1,6.1,,1.67,,,,,,,,12.27,,,,7.29,,,,,,0.01,0.00,17.00,240.00,35.00,37.00,127.00,1.64,0.16,0.90,77.00,0.90,2.00,N,0.00,844.00,141.00,0.00,5.73,,0.23,0.08,1.10,1.50,2.60,0.20,0.00,53.00,0.56,N,2.00
"Pakora/bhajia, potato, fried in vegetable oil, homemade",Recipe. Potatoes fried in chick pea flour batter,36.00,1.47,9.20,19.60,28.40,315.00,1316,26.00,,1.40,0.3,,0.3,0.8,0.0,0.0,0.0,4.5,5.0,,1.41,,,,,,,,10.81,,,,6.18,,,,,,0.01,0.00,24.00,404.00,27.00,36.00,100.00,1.24,0.14,0.70,113.00,0.67,1.00,N,0.00,111.00,19.00,0.00,4.79,,0.22,0.06,0.90,1.20,2.10,0.20,0.00,37.00,0.62,N,6.00
"Pakora/bhajia, spinach, fried in vegetable oil, homemade","Recipe, spinach fried in chick pea flour batter",22.80,2.33,14.60,22.20,30.00,360.00,1505,26.10,,1.90,0.2,,0.2,1.5,0.0,0.0,0.0,7.0,N,,1.65,,,,,,,,11.67,,,,7.35,,,,,,0.01,0.00,91.00,355.00,91.00,56.00,149.00,2.44,0.19,1.20,142.00,1.19,3.00,N,0.00,1317.00,220.00,0.00,6.17,,0.22,0.13,1.60,1.80,3.40,0.27,0.00,74.00,0.65,N,6.00
"Pakora/bhajia, vegetable, retail",Recipe from manufacturer,50.50,1.04,6.40,14.70,21.40,238.00,995,17.50,1.3,2.40,0.7,0.0,0.6,1.1,Tr,0.0,0.0,3.6,N,,1.00,,,,,,,,7.60,,,,4.80,,,,,,N,0.00,430.00,490.00,99.00,47.00,130.00,3.70,0.21,1.10,N,0.70,1.00,N,0.00,965.00,161.00,0.00,3.66,72.10,0.17,0.10,1.20,1.00,2.20,0.23,0.00,30.00,0.53,N,7.00
"Pakoras, homemade",Recipe,56.70,1.30,8.10,8.10,19.70,173.00,728,16.50,,2.10,0.6,,0.5,1.0,0.0,0.0,0.0,4.5,N,,0.66,,,,,,,,3.96,,,,2.84,,,,,,0.01,0.00,63.00,348.00,54.00,37.00,90.00,1.50,0.12,0.70,120.00,0.67,2.00,N,0.00,743.00,124.00,0.00,2.39,,0.16,0.07,1.00,1.10,2.10,0.23,0.00,41.00,0.62,N,6.00
"Pancakes (served with crispy duck), pancakes only, takeaway","10 sub-samples, 2 from different establishments in each of 5 regions",29.10,1.37,7.80,7.90,53.30,305.00,1291,41.90,6.2,5.20,0.1,,Tr,0.4,4.7,Tr,0.0,N,N,,N,,,,,,,,N,,,,N,,,,,,N,N,121.00,125.00,101.00,17.00,74.00,1.59,0.12,0.50,N,0.38,N,N,N,Tr,N,N,N,,0.27,N,0.90,N,N,0.05,N,N,N,N,Tr
"Pancakes, savoury, made with semi-skimmed milk, homemade",Recipe,58.10,1.14,6.90,8.40,26.60,203.00,855,22.80,,3.80,Tr,,Tr,0.1,0.0,3.7,,1.0,1.1,,1.95,,,,,,,,1.96,,,,3.78,,,,,,0.06,49.00,53.00,190.00,127.00,16.00,129.00,0.79,0.05,0.70,132.00,0.20,5.00,30.00,30.00,7.00,31.00,0.40,1.60,,0.09,0.22,0.60,1.50,2.10,0.09,1.00,10.00,0.64,5.30,2.00
"Pancakes, savoury, made with skimmed milk, homemade",Recipe,59.10,1.14,6.90,7.30,26.70,193.00,815,22.80,,3.90,Tr,,Tr,0.1,0.0,3.7,,1.0,1.1,,1.22,,,,,,,,1.69,,,,3.78,,,,,,0.00,47.30,55.00,195.00,131.00,17.00,130.00,0.79,0.05,0.70,132.00,0.20,5.00,30.00,17.00,Tr,17.00,0.40,3.08,0.58,0.08,0.22,0.40,1.50,1.90,0.09,1.00,12.00,0.57,4.70,Tr
"Pancakes, savoury, wholemeal, made with whole milk, homemade",Recipe,56.50,1.23,7.60,10.10,23.40,209.00,878,19.50,,4.00,Tr,,Tr,0.3,0.1,3.6,,2.5,2.9,,2.87,,,,,,,,2.39,,,,4.03,,,,,,0.10,53.80,53.00,243.00,109.00,34.00,178.00,0.94,0.11,1.10,123.00,0.57,5.00,31.00,44.00,11.00,46.00,0.40,3.14,0.82,0.09,0.23,1.00,1.70,3.30,0.14,1.00,13.00,0.72,5.70,1.00
"Pancakes, stuffed with vegetables, homemade","Tomato, mushroom and onion stuffing. Recipe adapted from a recipe from Leeds Polytechnic",74.40,0.69,4.10,4.20,15.80,113.00,474,11.00,,4.40,1.1,Tr,1.0,0.4,0.0,1.9,0.0,1.0,1.2,,0.95,,,,,,,,0.95,,,,1.87,,,,,,0.03,23.70,29.00,235.00,74.00,14.00,82.00,0.80,0.09,0.40,113.00,0.17,4.00,16.00,15.00,144.00,39.00,0.20,1.34,,0.12,0.14,0.90,0.90,1.80,0.11,0.50,12.00,0.54,4.10,4.00
"Pancakes, stuffed with vegetables, wholemeal, homemade","Tomato, mushroom and onion stuffing. Recipe adapted from a recipe from Leeds Polytechnic",73.60,0.73,4.40,5.00,14.20,115.00,484,9.40,,4.50,1.1,,1.0,0.5,Tr,1.7,,1.8,2.1,,1.39,,,,,,,,1.16,,,,1.98,,,,,,0.05,26.00,29.00,261.00,66.00,23.00,106.00,0.87,0.12,0.60,109.00,0.35,4.00,17.00,21.00,147.00,46.00,0.20,2.08,,0.12,0.12,1.00,1.00,2.00,0.13,0.50,14.00,0.58,4.30,3.00
"Pancakes, sweet, made with semi skimmed milk, homemade",Recipe,49.10,1.05,6.30,7.40,37.90,234.00,988,20.90,,17.00,Tr,,Tr,13.8,0.0,3.2,,0.9,1.0,,1.22,,,,,,,,1.72,,,,3.87,,,,,,Tr,48.00,51.00,174.00,116.00,15.00,118.00,0.78,0.06,0.70,119.00,0.19,4.00,27.00,17.00,Tr,17.00,0.40,3.13,,0.07,0.20,0.40,1.40,1.80,0.08,0.90,11.00,0.52,4.50,Tr
"Pancakes, sweet, made with skimmed milk, homemade",Recipe,49.10,1.05,6.30,7.40,37.90,234.00,988,20.90,,17.00,Tr,,Tr,13.8,0.0,3.2,,0.9,1.0,,1.22,,,,,,,,1.72,,,,3.87,,,,,,Tr,48.00,51.00,174.00,116.00,15.00,118.00,0.78,0.06,0.70,119.00,0.19,4.00,27.00,17.00,Tr,17.00,0.40,3.13,0.57,0.07,0.20,0.40,1.40,1.90,0.08,0.90,11.00,0.52,4.50,Tr
"Pancakes, sweet, made with whole milk, homemade",Recipe,46.90,1.04,6.30,9.70,37.80,254.00,1071,20.90,,16.90,Tr,,Tr,13.8,0.0,3.1,,0.9,1.0,,2.67,,,,,,,,2.33,,,,3.94,,,,,,0.09,53.60,49.00,171.00,113.00,15.00,118.00,0.77,0.06,0.70,120.00,0.19,4.00,27.00,41.00,9.00,42.00,0.40,3.17,0.96,0.07,0.20,0.40,1.40,1.90,0.08,0.90,10.00,0.57,4.50,1.00
"Pangasius, flesh only, baked",Calculated from 16-382 and 31.9% weight loss,76.10,3.50,21.80,2.30,0.00,109.00,458,0.00,0.0,0.00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.72,,0.21,,0.03,,0.65,,0.65,,0.25,,0.25,,,,,,Tr,52.50,299.00,430.00,14.00,42.00,243.00,0.13,0.03,0.50,279.00,0.01,27.00,2.00,Tr,Tr,Tr,2.00,0.34,,0.02,0.07,7.40,5.10,12.60,0.16,1.40,12.00,0.77,50.00,Tr
"Pangasius, flesh only, poached",Calculated from 16-382 and 27.2% weight loss,77.60,3.28,20.50,2.20,0.00,102.00,429,0.00,0.0,0.00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.68,,0.20,,0.03,,0.60,,0.61,,0.23,,0.23,,,,,,Tr,49.20,280.00,403.00,13.00,39.00,228.00,0.12,0.03,0.40,261.00,0.01,25.00,2.00,Tr,Tr,Tr,1.90,0.32,,0.02,0.08,7.80,4.80,12.70,0.16,1.40,14.00,0.73,46.90,Tr
"Pangasius, flesh only, raw","6 samples, 6 products, frozen and chilled. Also known as Vietnamese river cobbler and basa",83.70,2.38,14.90,1.60,0.00,74.00,313,0.00,,0.00,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,43.46,0.49,,0.15,,0.02,38.80,0.44,,0.44,14.84,0.17,,0.17,,,,,0.29,Tr,36.00,204.00,293.00,10.00,29.00,166.00,0.09,0.02,0.30,190.00,0.01,18.00,3.00,Tr,Tr,Tr,1.40,0.23,,0.02,0.06,6.30,3.50,9.80,0.12,1.00,10.00,0.66,37.90,Tr
"Papadums, takeaway",10 samples from different outlets,3.90,1.84,11.50,38.80,28.30,501.00,2084,28.30,0.0,Tr,Tr,,Tr,Tr,Tr,Tr,0.0,5.8,6.3,,7.95,27.48,10.19,6.28,2.33,44.27,16.42,,16.50,33.76,12.52,,12.52,21.42,7.95,0.00,0.00,0.18,0.07,1.90,N,609.00,N,121.00,196.00,4.44,0.36,1.70,N,0.97,15.00,N,N,N,N,0.00,3.70,,0.35,0.09,0.60,1.80,2.40,0.05,0.00,23.00,0.73,4.80,0.00
"Papaya, flesh only, raw","11 samples, imported, ripe",87.60,0.12,0.70,0.60,9.50,44.00,186.00,0.00,,9.50,4.80,0.00,4.70,Tr,0.00,0.00,0.00,2.20,1.80,,0.19,,,,,,,,0.17,,,,0.13,,,,,,0.00,0.00,14.00,215.00,21.00,17.00,9.00,0.22,0.03,0.08,11.00,0.02,1.00,Tr,0.00,466.00,78.00,0.00,0.35,,0.03,0.04,0.30,0.10,0.40,0.03,0.00,1.00,0.22,0.30,68.00
"Papaya, flesh only, raw, weighed with skin and pips",Calculated from 14-390,52.60,0.07,0.40,0.40,5.70,27.00,113.00,0.00,,5.70,2.90,0.00,2.80,Tr,0.00,0.00,0.00,1.30,1.10,,0.11,,,,,,,,0.10,,,,0.08,,,,,,0.00,0.00,8.00,129.00,13.00,10.00,5.00,0.13,0.02,0.05,7.00,0.01,1.00,Tr,0.00,280.00,47.00,0.00,0.21,,0.02,0.02,0.20,0.10,0.30,0.02,0.00,1.00,0.13,0.20,41.00
"Papaya, unripe, green flesh, raw",Literature sources,92.10,0.14,0.90,0.10,5.50,27.00,113,N,,N,N,0.0,N,N,0.0,0.0,,1.5,,,Tr,,,,,,,,Tr,,,,Tr,,,,,,,0.00,15.00,210.00,33.00,56.00,30.00,0.60,0.10,0.20,N,0.10,N,N,0.00,7.00,1.00,0.00,N,,0.01,0.02,0.20,N,N,N,0.00,N,0.22,N,31.00
Paprika,Literature sources,11.20,2.26,14.10,12.90,N,N,N,N,,10.30,2.6,0.2,6.7,0.8,0.0,0.0,0.0,N,34.9,,2.14,,,,,,,,1.70,,,,7.77,,,,,,0.00,0.00,68.00,2280.00,229.00,178.00,314.00,21.14,0.71,4.30,N,1.59,6.00,N,0.00,29553.00,4926.00,0.00,N,,0.33,1.23,10.10,N,N,2.14,0.00,49.00,2.51,N,1.00
"Paratha, homemade",Recipe,30.60,1.37,7.80,14.40,45.80,333.00,1398,45.10,,0.70,Tr,,Tr,0.6,0.1,0.1,0.0,4.4,4.9,,8.51,,,,,,,,3.48,,,,0.97,,,,,,0.46,34.10,118.00,190.00,21.00,46.00,165.00,1.50,0.20,1.40,231.00,1.47,4.00,6.00,153.00,97.00,169.00,0.10,0.86,,0.18,0.06,2.20,1.70,3.90,0.19,0.00,14.00,0.34,2.80,Tr
"Parrot fish, raw",Literature sources,79.00,3.18,19.90,0.40,0.00,83.00,353,0.00,,0.00,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.10,,,,,,,,Tr,,,,0.20,,,,,,,N,82.00,420.00,45.00,N,160.00,1.00,N,N,N,N,N,N,N,Tr,N,N,N,,0.06,0.10,1.40,3.70,5.10,0.30,3.00,N,N,N,Tr
"Parsley, dried",Literature sources,9.00,2.53,15.80,7.00,14.50,181.00,760,2.10,,12.40,7.5,0.0,4.8,N,0.0,0.0,,26.9,N,,N,,,,,,,,N,,,,N,,,,,,,0.00,180.00,4090.00,1080.00,120.00,340.00,41.50,0.16,3.80,860.00,1.10,5.00,N,0.00,21750.00,3625.00,0.00,9.15,,0.33,0.32,5.40,2.50,7.90,0.38,0.00,N,1.61,2.10,120.00
"Parsley, fresh",Tough stalks removed,83.10,0.47,3.00,1.30,2.70,34.00,141,0.40,,2.30,1.4,0.0,0.9,Tr,0.0,0.0,0.0,5.0,N,,N,,,,,,,,N,,,,N,,,,,,0.00,0.00,33.00,760.00,200.00,23.00,64.00,7.70,0.03,0.70,160.00,0.20,1.00,N,0.00,4040.00,673.00,0.00,1.70,548.00,0.23,0.06,1.00,0.50,1.50,0.09,0.00,170.00,0.30,0.40,190.00
"Parsnip, boiled in unsalted water","11 samples, UK, ends trimmed and peeled. Cut into chunks or slices, boiled for 8-12 minutes",80.50,0.19,1.20,0.70,14.70,66.00,282.00,10.40,Tr,4.30,0.10,0.00,0.10,4.10,0.00,0.00,0.00,4.70,2.60,,0.12,,,,,,,,0.29,,,,0.12,,,,,,0.00,0.00,3.00,319.00,34.00,16.00,55.00,0.44,0.07,0.30,40.00,0.27,Tr,4.00,0.00,30.00,5.00,0.00,1.26,,0.06,0.02,0.60,0.30,0.90,0.16,0.00,49.00,0.35,Tr,10.00
"Parsnip, raw",Ends trimmed and peeled,79.30,0.29,1.80,1.10,12.50,64.00,271,6.20,0.6,5.70,0.8,0.0,0.5,4.3,0.0,0.0,0.0,4.6,4.7,,0.20,,,,,,,,0.50,,,,0.20,,,,,,0.00,0.00,10.00,450.00,41.00,23.00,74.00,0.60,0.05,0.30,49.00,0.50,2.00,N,0.00,30.00,5.00,0.00,1.00,0.05,0.23,0.01,1.00,0.50,1.50,0.11,0.00,87.00,0.50,0.10,17.00
"Parsnip, roasted in rapeseed oil","Calculated from boiled. Fat and water analysed, 2017. 11 samples, UK, ends trimmed and peeled. Cut into quarters or halves and coated with 1 tbsp rapeseed oil, roasted for 35-55 minutes",58.60,0.38,2.40,4.50,28.80,158.00,668.00,20.40,Tr,8.40,0.20,0.00,0.20,8.00,0.00,0.00,0.00,9.20,5.10,,0.37,,,,,,,,2.54,,,,1.23,,,,,,Tr,0.00,6.00,626.00,67.00,31.00,108.00,0.86,0.14,0.51,79.00,0.53,Tr,7.00,0.00,59.00,10.00,0.00,2.10,,0.12,0.04,1.18,0.49,1.67,0.31,0.00,96.00,1.00,Tr,20.00
"Partridge, meat only, roasted",Meat from dressed carcase,54.50,5.87,36.70,7.20,0.00,212.00,890,0.00,,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,27.60,1.90,,,,,,,49.30,3.30,,,25.10,1.70,,,,,Tr,Tr,N,100.00,410.00,46.00,36.00,310.00,7.70,N,N,99.00,N,N,N,N,N,N,N,N,,N,N,N,6.90,N,N,N,N,N,N,0.00
"Partridge, meat only, roasted, weighed with bone","Calculated from roast, meat only 18-381",32.70,3.52,22.00,4.30,0.00,127.00,533,0.00,,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,27.60,1.10,,,,,,,49.30,2.00,,,25.10,1.00,,,,,Tr,Tr,N,60.00,240.00,28.00,22.00,190.00,4.60,N,N,59.00,N,N,N,N,N,N,N,N,,N,N,N,4.10,N,N,N,N,N,N,0.00
Passion fruit juice,Literature sources,87.30,0.13,0.80,0.10,10.70,47.00,189,0.00,,10.70,4.1,,3.5,3.1,0.0,0.0,,Tr,,,Tr,,,,,,,,Tr,,,,Tr,,,,,,,0.00,19.00,200.00,7.00,29.00,21.00,0.50,N,0.80,N,N,N,N,0.00,800.00,135.00,0.00,N,,0.01,0.07,0.70,0.10,0.80,N,0.00,N,N,N,21.00
"Passion fruit, flesh and pips",Analysis and literature sources;,74.90,0.45,2.60,0.40,5.80,36.00,152,0.00,,5.80,2.2,,1.9,1.7,0.0,0.0,0.0,3.3,N,,0.10,,,,,,,,0.10,,,,0.10,,,,,,0.00,0.00,19.00,200.00,11.00,29.00,64.00,1.30,N,0.80,N,N,N,N,0.00,750.00,125.00,0.00,N,,0.03,0.12,1.50,0.40,1.90,N,0.00,N,N,N,23.00
"Passion fruit, flesh and pips, weighed with skin",Calculated from 14-178,45.70,0.27,1.70,0.20,3.50,22.00,92,0.00,,3.50,1.3,,1.1,1.0,0.0,0.0,0.0,2.0,,,Tr,,,,,,,,0.10,,,,0.10,,,,,,0.00,0.00,12.00,120.00,7.00,18.00,39.00,0.80,N,0.50,N,N,N,N,0.00,460.00,77.00,0.00,N,,0.02,0.07,0.90,0.20,1.10,N,0.00,N,N,N,14.00
"Pasta and sauce mixes, dried, raw","10 samples, 10 products, pasta with sauce including cheese, meat and vegetables",6.40,2.25,12.80,4.90,70.00,358.00,1519,61.90,Tr,8.10,0.4,,0.5,1.2,4.3,1.7,0.0,4.6,4.5,47.67,2.25,17.66,0.84,1.40,0.07,27.38,1.29,32.42,1.53,19.05,0.90,19.93,0.94,47.12,2.23,0.55,0.02,5.73,0.27,3.00,1165.00,409.00,78.00,52.00,344.00,1.73,0.27,1.50,1410.00,0.88,8.00,11.00,19.00,112.00,37.00,0.20,0.81,,1.08,0.20,3.50,2.10,5.60,0.08,Tr,42.00,0.90,3.00,Tr
"Pasta shapes, coloured, flavoured, dried, raw","10 samples, including spirali, farfalle, fusilli, penne, pennette",9.70,1.94,11.00,1.60,75.40,341.00,1453,73.10,Tr,2.30,0.2,,0.3,0.3,1.5,0.0,0.0,3.5,5.5,21.65,0.23,57.91,0.62,3.39,0.04,16.85,0.18,16.95,0.18,61.25,0.65,61.39,0.65,21.65,0.23,,,0.25,Tr,0.00,8.00,301.00,41.00,50.00,174.00,1.66,0.28,1.20,100.00,0.82,22.00,Tr,Tr,73.00,12.00,0.00,0.30,,0.17,0.03,2.70,2.20,4.90,0.12,0.00,26.00,0.60,Tr,0.00
"Pasta with ham and mushroom sauce, homemade",Recipe,71.70,1.00,5.70,5.30,16.20,132.00,554,15.30,,1.00,Tr,,0.1,Tr,0.6,0.3,0.0,1.1,1.2,,3.18,,,,,,,,1.37,,,,0.35,,,,,,0.17,17.50,96.00,158.00,73.00,17.00,119.00,0.45,0.12,0.80,195.00,0.18,6.00,Tr,65.00,39.00,72.00,Tr,0.18,,0.12,0.11,1.40,1.20,2.70,0.07,0.30,11.00,0.18,0.90,Tr
