name,category,usda_id,source,energy,protein,fat,sat_fat,carbohydrate,total_sugar,starch,fibre,sodium,potassium,calcium,magnesium,phosphorus,iron,copper,zinc,manganese,selenium,iodine,vit_a,vit_c,vit_d,vit_e,vit_k,vit_b1,vit_b2,vit_b3,vit_b6,vit_b12,vit_b9,vit_b7
"Asian stir fry vegetables, cooked, fat added",Other vegetables and combinations,2710036,survey.json,71,2.01,2.84,0.712,9.65,3.53,,2.8,0.146,0.244,0.035,0.017,0.047,0.00101,0.000081,0.00038,0,0.0000008,0,0.000011,0.0353,0,0.00085,0.0000393,0.000054,0.000093,0.000771,0.000194,0,0.000034,0
"Jai, Monk's Food",Other vegetables and combinations,2710037,survey.json,60,4.25,1.86,0.283,7.72,1.15,,1.7,0.028,0.193,0.054,0.021,0.07,0.00082,0.000135,0.0005,0,0.0000046,0,0,0.0058,0,0.0001,0.000001,0.000041,0.000047,0.000674,0.000111,0,0.00002,0
"Vegetable mixture, dried",Not included in a food category,2710038,survey.json,328,17.4,8.88,1.19,49.2,18.9,,18.5,0.368,1.64,0.232,0.152,0.406,0.00545,0.000741,0.00335,0,0.0000129,0,0,0.193,0,0.00595,0.000224,0.000485,0.0007,0.00706,0.000926,0,0.000233,0
"Artichokes, stuffed",Vegetable dishes,2710039,survey.json,160,5.33,5.94,1.39,22.3,2.13,,3.9,0.404,0.218,0.085,0.032,0.095,0.00143,0.00012,0.00067,0,0.0000067,0,0.000008,0.0053,0,0.00092,0.0000282,0.000194,0.000138,0.00185,0.000074,0.0000001,0.000063,0
Green bean casserole,Vegetable dishes,2710040,survey.json,56,1.96,2.21,0.505,7.05,2.03,,1.9,0.316,0.203,0.042,0.018,0.043,0.00043,0.000063,0.00028,0,0.0000015,0,0.000008,0.0058,0.0000002,0.0004,0.0000313,0.000039,0.000077,0.00052,0.000071,0.00000004,0.000017,0
"Green beans, cooked, Szechuan-style",Stir-fry and soy-based sauce mixtures,2710041,survey.json,106,2.54,6.96,0.951,8.37,2.25,,3,0.226,0.309,0.048,0.032,0.055,0.00084,0.000113,0.00045,0,0.0000012,0,0,0.0103,0,0.00164,0.0000566,0.000062,0.000103,0.000802,0.000158,0,0.000028,0
Fried cauliflower,Fried vegetables,2710042,survey.json,218,4.02,12.9,1.82,21.9,1.08,,1.6,0.326,0.159,0.033,0.014,0.056,0.00167,0.000062,0.00036,0,0.0000055,0,0.000005,0.0161,0.0000001,0.00234,0.0000185,0.000265,0.000147,0.00194,0.000086,0.00000004,0.00006,0
"Chiles rellenos, cheese-filled",Other Mexican mixed dishes,2710043,survey.json,228,7.84,17.2,6.1,10.4,1.5,,0.7,0.445,0.119,0.203,0.015,0.148,0.00067,0.000047,0.00116,0,0.0000077,0,0.000063,0.0399,0.0000001,0.00192,0.0000127,0.000117,0.000182,0.000958,0.000133,0.00000036,0.000028,0
"Chiles rellenos, filled with meat and cheese",Other Mexican mixed dishes,2710044,survey.json,230,9.01,17.2,6.12,9.72,1.4,,0.7,0.421,0.131,0.192,0.016,0.152,0.00079,0.00005,0.00148,0,0.0000088,0,0.000059,0.0374,0.0000001,0.00181,0.000012,0.000113,0.000183,0.00124,0.000151,0.0000005,0.000027,0
Stuffed jalapeno pepper,Turnovers and other grain-based items,2710045,survey.json,241,8.82,15.9,6.34,16.5,3.73,,2.5,0.444,0.232,0.12,0.023,0.139,0.0019,0.000073,0.00101,0,0.0000149,0,0.000106,0.0507,0.0000008,0.00279,0.0000197,0.0002,0.000273,0.00184,0.00025,0.00000042,0.000048,0
"Corn, scalloped or pudding",Vegetable dishes,2710046,survey.json,116,4.54,5.12,1.39,15,4.63,,1.5,0.31,0.211,0.044,0.023,0.107,0.00057,0.000031,0.00071,0,0.0000061,0,0.000068,0.0017,0.0000008,0.0005,0.0000032,0.000039,0.00014,0.000813,0.000082,0.00000022,0.000027,0
"Fritter, corn","Biscuits, muffins, quick breads",2710047,survey.json,404,7.37,27.1,5.61,33.6,3.03,,1.6,0.339,0.198,0.064,0.024,0.126,0.00225,0.000067,0.00077,0,0.0000102,0,0.000075,0.0011,0.0000008,0.00419,0.0000217,0.000282,0.000257,0.00245,0.000077,0.00000023,0.000055,0
Fried eggplant,Fried vegetables,2710048,survey.json,218,3.66,12.8,1.78,22.3,1.77,,2,0.315,0.135,0.028,0.014,0.049,0.0016,0.00008,0.00032,0,0.0000054,0,0.000005,0.0008,0.0000001,0.00243,0.0000138,0.000262,0.000139,0.002,0.000052,0.00000004,0.000049,0
Eggplant dip,"Dips, gravies, other sauces",2710049,survey.json,183,4.8,15,2.19,8.15,2.81,,3.9,0.209,0.264,0.035,0.083,0.164,0.00169,0.000394,0.00136,0,0.0000097,0,0,0.0071,0,0.00072,0.0000243,0.00023,0.000123,0.00162,0.000195,0,0.000039,0
"Eggplant parmesan casserole, regular",Vegetable dishes,2710050,survey.json,155,7.02,10.5,3.55,8.96,3.01,,1.9,0.351,0.225,0.18,0.018,0.152,0.00072,0.000082,0.00102,0,0.0000081,0,0.000047,0.0026,0.0000001,0.00166,0.0000075,0.000059,0.000143,0.000827,0.000087,0.00000037,0.000019,0
Eggplant with cheese and tomato sauce,Vegetable dishes,2710051,survey.json,90,6.16,4.84,2.67,6.34,3.39,,2.2,0.325,0.246,0.164,0.019,0.138,0.00045,0.000087,0.00095,0,0.0000063,0,0.000044,0.003,0.0000001,0.00067,0.0000032,0.000033,0.000113,0.000658,0.00009,0.00000033,0.000018,0
"Mushrooms, stuffed",Vegetable dishes,2710052,survey.json,288,10.7,15,4.08,27.7,4,,3,0.638,0.434,0.147,0.027,0.203,0.00183,0.000402,0.00146,0,0.0000287,0,0.000105,0.0044,0.0000005,0.00111,0.0000139,0.000286,0.000531,0.00544,0.000128,0.00000029,0.00005,0
Fried mushrooms,Fried vegetables,2710053,survey.json,222,4.63,12.9,1.79,21.9,1.27,,1.6,0.317,0.217,0.027,0.013,0.083,0.00162,0.000219,0.00049,0,0.0000143,0,0.000005,0.0008,0.0000001,0.00232,0.0000124,0.00027,0.000328,0.0035,0.000056,0.00000006,0.000055,0
Fried okra,Fried vegetables,2710054,survey.json,219,3.88,12.8,1.79,22.4,1.42,,1.6,0.316,0.111,0.052,0.023,0.053,0.00171,0.000076,0.00044,0,0.0000055,0,0.000005,0.0036,0.0000001,0.00243,0.0000304,0.000275,0.000161,0.00198,0.000035,0.00000004,0.000079,0
Fried onion rings,Fried vegetables,2710055,survey.json,352,4.19,19.8,3.17,39.9,4.96,,2.6,0.575,0.151,0.072,0.02,0.116,0.00096,0.000078,0.00055,0,0.0000056,0,0,0.0015,0,0.00274,0.000045,0.000153,0.00009,0.00112,0.00013,0,0.000036,0
Pea salad,"Coleslaw, non-lettuce salads",2710056,survey.json,180,2.98,14,2.2,10.6,4.9,,2.7,0.253,0.119,0.027,0.014,0.05,0.00086,0.000062,0.0004,0,0.0000009,0,0.000003,0.0134,0,0.00079,0.000052,0.000154,0.000073,0.000865,0.000085,0.00000002,0.000038,0
Pea salad with cheese,"Coleslaw, non-lettuce salads",2710057,survey.json,203,5,16,3.9,9.82,4.44,,2.4,0.293,0.114,0.095,0.016,0.09,0.00079,0.000059,0.00073,0,0.0000037,0,0.000034,0.0121,0.0000001,0.00078,0.000047,0.000142,0.00011,0.000784,0.000084,0.00000013,0.000037,0
"Fried summer squash, yellow or green",Fried vegetables,2710058,survey.json,216,3.76,12.9,1.8,21.5,1.53,,1.2,0.317,0.149,0.033,0.017,0.055,0.00169,0.000079,0.00039,0,0.0000054,0,0.000005,0.007,0.0000001,0.00237,0.000014,0.000267,0.000153,0.00194,0.000075,0.00000004,0.000049,0
"Squash, summer, casserole with tomato and cheese",Vegetable dishes,2710059,survey.json,85,3.48,4.32,2.23,8.87,3.31,,1.4,0.228,0.264,0.09,0.023,0.082,0.00084,0.000096,0.0006,0,0.0000037,0,0.000034,0.0138,0.0000002,0.00039,0.0000042,0.000106,0.000117,0.00096,0.000124,0.00000007,0.000024,0
"Squash, summer, casserole, with rice and tomato sauce",Vegetable dishes,2710060,survey.json,83,2.32,1.66,0.749,14.9,2.4,,1.1,0.12,0.203,0.026,0.019,0.046,0.00097,0.000091,0.00043,0,0.0000037,0,0.00001,0.0104,0,0.00027,0.000003,0.000128,0.000071,0.00116,0.000118,0.00000002,0.000035,0
